Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,Job_Desception,skills
Senior Data Engineer,Cowbell,"Pune, Maharashtra, India",Hybrid,201-500 employees,258 on LinkedIn,55 applicants,Insurance 201-500 employees 258 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","CommunicationData ModelingData ScienceExtract, Transform, Load (ETL)Amazon RedshiftAddComputer ScienceAddData ModelsAddData WarehousingAddDatabasesAddSnowflakeAdd",
Order to Cash Operations Associate-Order to Cash Processing,Accenture in India,"Noida, Uttar Pradesh, India",On-site,"10,001+ employees","42,758 on LinkedIn",42 applicants,"Information Technology & Services 10,001+ employees 42,758 on LinkedIn",Full-time · Entry level,"['Skill required: Order to Cash Processing - Billing ProcessingDesignation: Management Level - AssociateJob Location: NoidaAny Graduation1 to 3 yearsAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comYou will be aligned with our Finance Operations vertical and will be helping us in determining financial outcomes by collecting operational data/reports, whilst conducting analysis and reconciling transactions. The Order to Cash Processing team provides services to clients and organizations by helping them in the areas of optimizing working capital, providing real-time visibility and end-to-end management of revenue and cash flow, and streamlining billing processes. This team over looks the entire processes that starts from customers inquiry, sales order to delivery and invoicing. The Billing Processing team focuses on the process of creating and issuing customer invoices. This includes reviewing the list of debit notes raised and identifying any gaps in the process. The role requires a good understanding of invoicing, collections, account receivables, order management, sales order, order processing, order fulfillment, and journal entries. The role may also require following up with the sales team to provide reasons for raising debit notes and un-recognized revenue.Any Graduation']",Cash ManagementAddInvoicingAddJournal Entries (Accounting)AddOperationsAddOrder to CashAdd,
Product Analyst,Ethos,"Bengaluru, Karnataka, India",On-site,201-500 employees,556 on LinkedIn,Over 200 applicants,Insurance 201-500 employees 556 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAnalyticsCommunicationData AnalyticsData ScienceBusiness AnalyticsAddBusiness InsightsAddDashboardAddKey Performance IndicatorsAddProduct AnalysisAdd,
Associate Manager - Finance,SS&C Technologies,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","20,254 on LinkedIn",Over 200 applicants,"Computer Software 10,001+ employees 20,254 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsCommunicationFinanceProblem SolvingAccounting StandardsAddBudgetingAddClient OrientationAddManagement AccountingAddManagement Information Systems (MIS)AddSpreadsheetsAdd,
Senior Analyst - GBS Procurement,Flex,"Pune, Maharashtra, India",On-site,"10,001+ employees","43,630 on LinkedIn",75 applicants,"Electrical & Electronic Manufacturing 10,001+ employees 43,630 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsCommunicationDatabasesAddEscalations ManagementAddGBSAddOperational ExcellenceAddPurchase OrdersAddRoot CauseAddRoot Cause AnalysisAddSupplier ManagementAdd,
Driver,World Health Organization,"Delhi, Delhi, India",On-site,"5,001-10,000 employees","23,825 on LinkedIn",175 applicants,"International Affairs 5,001-10,000 employees 23,825 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAdministrative AssistanceAddCommoditiesAddCultural DiversityAddCustoms RegulationsAddDefensive DrivingAddPhotocopierAddProfessional DrivingAddTopographyAddTruck DrivingAdd,
Client Solution Lead - IVSU,Infosys,"Bengaluru, Karnataka, India",Hybrid,"10,001+ employees","310,142 on LinkedIn",31 applicants,"Information Technology & Services 10,001+ employees 310,142 on LinkedIn",Full-time · Entry level,"['Prospecting The Client Solution Lead will conduct research and data gathering exercise for specific prospects / pursuit and create solutions based on the analysis. S/He will assist or create collaterals for pro-active pitches to identify business opportunities and arrive at innovative proposition, in order to identify pain points of the prospects and map services across Infosys to address those pain points and assist with appropriate information for lead generation. 2. Pursuit The Client Solution Lead will create pursuit plan and response plan for small sized proposals in the practice for specific service offering. He/she will be responsible for the pricing/estimation for the pursuit. Client Solution Lead will coordinate and contribute in customization of collaterals, case studies and any other supporting documents for the specific response, drive and contribute on solutions and approach, procure the approval from various authorities (Senior Management, DAG (Deal Advisory Group), High Risk, Legal, OCM, QD, as required), identify and upload re-usable content from the response/oral presentations in order to deliver the appropriate response for small size pursuits and deliver appropriate response to sections / parts of large / complex deals. 3. Knowledge Management The Client Solution Lead will create re-usable content that includes solutions across sub-sectors of a vertical leveraging Infosys IP, solutions and frameworks and maintain the central repository of artifacts. S/He will follow-up with Unit Delivery teams for latest case studies / collaterals, contribute to the common value design community by providing Unit -specific data, create re-usable content to be used in proposals and attend KM sessions from different Units in order to build reusable knowledge assets. 4. Research and Analysis The Client Solution Lead will develop Industry-specific reports as per the publishing calendar, competitive intelligence reports, and company analysis reports as per the Target Account List, generate reports on a periodic basis and create Win-loss analysis report in order to assist with appropriate information for differentiation with respect to competition and continuous improvement.']",Case StudiesCommunicationPresentationsBid ManagementAddLead QualificationAddMarketingAddOracle Certification Program (OCP)AddPresalesAddSales PresentationsAddWin-loss AnalysisAdd,
Business/Data Analyst IRC178059,GlobalLogic,"Hyderabad, Telangana, India",On-site,"10,001+ employees","23,296 on LinkedIn",88 applicants,"Computer Software 10,001+ employees 23,296 on LinkedIn",Full-time · Director,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Data AnalysisData AnalyticsBusiness AnalysisAddBusiness ProcessAddBusiness RequirementsAddChange Impact AnalysisAddConducting MeetingsAddDocumentationAddPrioritize WorkloadAddProcess ModelingAdd,
"Senior Analyst, IME - Insights APAC",Guidepoint,"Mumbai, Maharashtra, India",Hybrid,"1,001-5,000 employees","3,512 on LinkedIn",103 applicants,"Information Services 1,001-5,000 employees 3,512 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",AnalyticsData AnalyticsPresentationsBusiness InsightsAddBuy-sideAddContent CreationAddInvestingAddInvestor PresentationsAddRelevanceAddTranscriptsAdd,
Junior Executive - Program Management,Flex,"Coimbatore, Tamil Nadu, India",On-site,"10,001+ employees","43,630 on LinkedIn",115 applicants,"Electrical & Electronic Manufacturing 10,001+ employees 43,630 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationCoordination SkillsAddDocumentationAddGBSAddINCO termsAddNew Product RolloutAddOffice AutomationAddProduct IntroductionAddProfit & LossAddStatutory Accounting Principles (SAP)Add,
"Digital Analytics Analyst, 2-1",Bread Financial,"Karnataka, India",On-site,"5,001-10,000 employees","2,586 on LinkedIn",18 applicants,"Financial Services 5,001-10,000 employees 2,586 on LinkedIn",Full-time · Mid-Senior level,"['', '']",Adobe AnalyticsAddBusiness Case PreparationAddBusiness TestingAddGoogle AnalyticsAddImplementation PlansAddOnline RetailAddQuery LanguagesAddQuery WritingAddWeb AnalyticsAddWeb DesignAdd,
Data & Analytics Sr. Data Analyst/Data Modelers,EPAM Systems,"Bengaluru, Karnataka, India",Remote,"10,001+ employees","60,942 on LinkedIn",73 applicants,"Information Technology & Services 10,001+ employees 60,942 on LinkedIn",Full-time · Associate,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Data AnalysisData ModelingData VisualizationData EngineeringAddData WarehousingAddEmployee BenefitsAddGrowing CompaniesAddIT ServicesAddLearningAddTableauAdd,
Assistant Manager - Location Monitoring,SBI Card,"Lucknow, Uttar Pradesh, India",On-site,"1,001-5,000 employees","12,793 on LinkedIn",Over 200 applicants,"Financial Services 1,001-5,000 employees 12,793 on LinkedIn",Full-time · Mid-Senior level,"['Statutory & Regulatory Norms (Shops & Establishment Act, Fire NOC, GST, Occupancy Certificate, PF, ESI Acts etc.…)', '', '', '', '']",CommunicationAction PlanningAddCoachingAddContinuous Process ImprovementAddCorrective ActionsAddSales ProcessesAddTeam BuildingAddTeam LeadershipAddTeamworkAddVendor RelationsAdd,
Order to Cash Operations Analyst-Order to Cash Processing,Accenture in India,"Noida, Uttar Pradesh, India",On-site,"10,001+ employees","42,758 on LinkedIn",8 applicants,"Information Technology & Services 10,001+ employees 42,758 on LinkedIn",Full-time · Entry level,"['Skill required: Order to Cash Processing - Billing ProcessingDesignation: Management Level - AnalystJob Location: NoidaAny Graduation3 to 5 yearsAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comYou will be aligned with our Finance Operations vertical and will be helping us in determining financial outcomes by collecting operational data/reports, whilst conducting analysis and reconciling transactions. The Order to Cash Processing team provides services to clients and organizations by helping them in the areas of optimizing working capital, providing real-time visibility and end-to-end management of revenue and cash flow, and streamlining billing processes. This team over looks the entire processes that starts from customers inquiry, sales order to delivery and invoicing. The Billing Processing team focuses on the process of creating and issuing customer invoices. This includes reviewing the list of debit notes raised and identifying any gaps in the process. The role requires a good understanding of invoicing, collections, account receivables, order management, sales order, order processing, order fulfillment, and journal entries. The role may also require following up with the sales team to provide reasons for raising debit notes and un-recognized revenue.Any Graduation']",Cash ManagementAddInvoicingAddJournal Entries (Accounting)AddOperationsAddOrder to CashAdd,
Process Developer- STP-BFS025278,Genpact,"Hyderabad, Telangana, India",On-site,"10,001+ employees","130,115 on LinkedIn",80 applicants,"Information Technology & Services 10,001+ employees 130,115 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '']",CommunicationBusiness Relationship ManagementAddInterpersonal SkillsAddOracle Fusion MiddlewareAddProcurementAddPublic RelationsAddPurchase To PayAddSAP AribaAddService-Level Agreements (SLA)AddStakeholder ManagementAdd,
Process Developer - Accounts Payable-HMS031457,Genpact,"Hyderabad, Telangana, India",On-site,"10,001+ employees","130,115 on LinkedIn",33 applicants,"Information Technology & Services 10,001+ employees 130,115 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Accounts PayableAddEnterprise Resource Planning (ERP)AddForeign CurrencyAddGoods and Services Tax (GST)AddInternal ComplianceAddInvoice ProcessingAddRequisitionsAddSAP ERPAddStatutory Accounting Principles (SAP)AddTax Deducted at Source (TDS)Add,
Astt. Manager -Production Planning & Control,Metso Outotec,"Vadodara, Gujarat, India",On-site,"10,001+ employees","10,169 on LinkedIn",Over 200 applicants,"Machinery 10,001+ employees 10,169 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAutomotiveAddAutomotive IndustryAddHindiAddInterpersonal CommunicationAddLoan WorkoutsAddManagement ReviewAddProduction PlanningAddSAP ProductsAddStatutory Accounting Principles (SAP)Add,
"Senior Business Analytics and Planning executive,",Avnet,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","11,254 on LinkedIn",8 applicants,"Information Technology & Services 10,001+ employees 11,254 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAnalyticsBusiness AnalyticsAddBusiness Process MappingAddCorporate Financial ReportingAddDashboardAddJob SkillsAddProcess MappingAddStatistical AnalysisAddSummariesAdd,
InP - Customer Service Associate - Consumer,FIS,"Gurugram, Haryana, India",On-site,"10,001+ employees","45,106 on LinkedIn",26 applicants,"Information Technology & Services 10,001+ employees 45,106 on LinkedIn",Full-time · Mid-Senior level,"['Provides customer support by phone, email or instant message to consumers. Serves as primary contact for inbound customer issues. Escalates more technical product-related issues to proper Product Support department', 'Processes a high volume of consumer inquiries of FIS products and services and resolves a targeted percentage of those inquiries', 'Troubleshoots customer problems, identifies root cause of problem and uses tool and resources appropriately to determine how to resolve customer problems', 'When unable to resolve problems in a reasonable amount of time, will escalate to appropriate resource. Follows up on escalated issues with coaching and mentoring to learn appropriate solution and expand overall knowledge', 'Tracks and documents inbound support requests and ensures proper notation of customer problems or issues', 'Updates customer information and ensures accurate entry of contact information', 'Meets standards of job, such as quality standards, adherence to schedule and average handle time', 'May provide guidance and/or mentoring to less experienced Customer Service Associates - Consumer', 'Other related duties assigned as needed. EDUCATION REQUIREMENTS High school diploma or GED GENERAL KNOWLEDGE, SKILLS & ABILITIES', 'Knowledge of the company’s products, services and business operations to enable resolution of customer inquiries', 'Excellent customer service skills that build high levels of customer satisfaction', 'Excellent verbal and written communication skills', 'Computer navigation and operation skills', 'Demonstrates effective people skills and sensitivities when dealing with others', 'Ability to work both independently and in a team environment FIS JOB LEVEL DESCRIPTION Developing support role. Moderate skills with high level of proficiency. Responds to a high volume of inquiries about FIS’s products and services. Questions and issues are predominantly routine but associate must be able to deviate from standard scripts and procedures as needed. Is able to effectively calm upset customers and end a negative situation positively. May coach and share information with professionals with less experience and/or expertise. Works under close to general supervision with little latitude for independent judgment. May consult with senior peers and team leads to learn through experience. Typically requires two or more years of experience in a call center or customer service-related job in a service industry. One or more years financial services experience is preferable. Privacy Statement']",CommunicationComputer NavigationAddCustomer SatisfactionAddCustomer ServiceAddCustomer SupportAddGEDAddInbound MarketingAddInterpersonal SkillsAddPhone EtiquetteAddWritten CommunicationAdd,
Logistics Specialist,Allyn International,"Bengaluru, Karnataka, India",Hybrid,201-500 employees,386 on LinkedIn,Over 200 applicants,Transportation/Trucking/Railroad 201-500 employees 386 on LinkedIn,Full-time · Associate,"['Bachelor’s or equivalent college degree – focus on Logistics preferred', 'Knowledge of the English language on an advanced level is a must', 'Experience in handling domestic (Truck Fleet management) or international shipments within Saudi Arabia or the Middle East / GCC region', 'Flexibility with supporting off-hours duties or shifts', 'Knowledge of International Trade & Management', 'Knowledge of legal & customs regulations', 'Excellent written and verbal communication skills', 'Ability to work independently as well as within the team', 'Stress resistant', 'Project management skills', 'Route cargo by legal and customer requirements', 'Coordinate the routing process', 'Proactive approach to issue resolution and shipment responsibility', 'Research and subject matter expertise in the field of logistics and transportation', 'Possible preparation of a preliminary packing list in order to provide the client with the preliminary information regarding the project cargo-specific to one business', 'Actively use either Allyn Logistics Application (ALA) or other required systems', 'Accurately issue shipping documentation such as certificates of origin, customs invoices and packing lists, and certificates of insurance', 'Communication with freight forwarders, shippers, consignees, clients, and internal communication within the team', 'Contracting External Logistics Service Providers for route & port surveys', 'Transport regulations compliance management, including permitting, over-dimensional and hazardous cargo', 'Monitoring and tracking the shipments and keeping client informed about the status', 'Capture all costs associated with a shipment', 'Actively look and capture savings opportunities and added value opportunities when possible', 'Track and resolve freight claims', 'Provide excellent customer service to Allyn customers', 'Training for newcomers, internal team members, or external customers/suppliers if needed']",Microsoft ExcelProblem SolvingCost ReductionAddCustomer ServiceAddFreight ClaimsAddLogistic SupportAddLogistics ManagementAddPresentation SkillsAddProcess ImprovementAddProject ManagementAdd,
Senior Associate - Intel Analyst,TIAA,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","12,765 on LinkedIn",2 applicants,"Financial Services 10,001+ employees 12,765 on LinkedIn",Full-time · Mid-Senior level,"['Produce timely and high quality analysis and assessment of geopolitical risk that the organization may encounter and the economic, regulatory, reputational and wider implications for the organization day to day operation and strategic direction', 'Develop new, innovative intelligence products for meeting existing and evolving stakeholder requirements', 'Investigate further into incidents to provide validity and further contextual understanding of a real time event', 'Collaborate with business continuity & crisis management teams', 'Closely work with Crisis Management core team during crisis events', 'Prepare country risk reporting and dash boards', 'Provide after-hours on-call management support and participate in emergent, large scale event response, or crisis management when needed', 'Create and manage information security and risk management awareness training programs for all associates', 'Implement established compliance processes aligned with Compliance, Security, and Risk Management (CSRM) policies, standards, guidelines, and relevant legal or regulatory requirements', 'Liaise with key nodal external bodies, such as law enforcement, traffic, disaster control rooms, airports, consulates/embassies and other advisory bodies as necessary to ensure that TIAA maintains a strong security posture.', 'University (Degree) Preferred', '5+ Years Required; 7+ Years Preferred', 'Physical Requirements: Sedentary Work', 'Functional management, training and development of a team of senior intelligence analysts. Develops strategic security goals and priorities and monitors the work performed to timely and accurately achieve set goals.', 'Produce timely and high-quality analysis and assessment of geopolitical risk that the organization may encounter and the economic, regulatory, reputational and wider implications for the organization day to day operation and strategic direction', 'Investigate further into incidents to provide validity and further contextual understanding of a real time event', 'Collaborate with business continuity & crisis management teams', 'Closely work with Crisis Management core team during crisis events', 'Prepare country risk reporting and dash boards', 'Create and manage information security and risk management awareness training programs for all associates', 'Provide after-hours on-call management support and participate in emergent, large scale event response, or crisis management when needed.', 'Work directly with the business units to facilitate risk assessment and risk management processes, and work with stakeholders on identifying acceptable levels of residual risk.', 'Develop and oversee effective disaster recovery policies and standards to align with business continuity management program goals. Additionally, provide direction, support and in-house consulting in these areas.', 'Implement established compliance processes aligned with Compliance, Security, and Risk Management (CSRM) policies, standards, guidelines, and relevant legal or regulatory requirements.', 'Liaise with key nodal external bodies, such as law enforcement, traffic, disaster control rooms, airports, consulates/embassies and other advisory bodies as necessary to ensure that TIAA maintains a strong security posture.', 'Develop new, innovative intelligence products for meeting existing and evolving stakeholder requirements', 'Similar skills as required for current role (mentioned in Job Requirements and Qualifications) Management/Leadership Responsibility: Is management of people a primary focus of the role? If so, how many direct and indirect employees are managed? Do any of them manage a function or process?', 'Business or Industry Expertise: Describe the degree of knowledge and understanding required of TIAA’s business and industry, commercial environment and of competitors products and services.', 'Awareness of at least general political, sociological, societal, or economical trends both domestically and internationally. In-depth understanding of current events worldwide as they relate to corporate or government interests.', 'Able to track and address multiple conflicting assignments on a daily basis and within a 24/7 environment', 'Excellent writing and analytical skills to be utilized for analyzing suspect incidents and effectively communicate their existence to team members and management', 'Attention to detail and the ability to stay engaged during repetitive, detail-oriented tasks', 'Enhanced understanding of the intelligence cycle and how it pertains to real-world application.', 'Subject-matter expertise around physical security threats ranging from mass casualty events to travel advisories, from disruptive activism to amber alerts.', 'Ability to see the ‘big picture’ while recognizing concerns of corporate clients in both the tactical and strategic sense.', 'Capability to monitor the appropriate channels needed to maintain consistent coverage of ever-changing corporate and government issues and concerns.', 'Interactions / Interpersonal Skills: Describe the nature and level of interactions this job has with others, both internally and externally. Explain any specific interpersonal skills necessary to successfully perform this role (i.e., negotiation skills, represents business at external events or to governmental bodies, etc. ).', 'Past experience in intelligence, technology, journalism, security or related fields is preferred', 'Self-starter who works well in a collaborative environment', 'Ability to self-motivate.', 'Strong decision making and analytical skills', 'Collaborates with cross functional stake holders and consultants across the company.', 'Good People Management skills.', 'Past experience in intelligence, technology, journalism, security or related fields is preferred', 'Self-starter who works well in a collaborative environment', 'Ability to self-motivate.', 'Strong decision making and analytical skills', 'Collaborates with cross functional stake holders and consultants across the company.', 'Good People Management skills.']",Analytical SkillsCommunicationBusiness ContinuityAddBusiness Process Outsourcing (BPO)AddEmbassiesAddEnglishAddIndirect PurchasingAddInternational RelationsAddRisk ReportingAddTrend AnalysisAdd,
We're Hiring :: BDE/Sr. BDE/ DRA,Moon Technolabs Pvt. Ltd.,"Ahmedabad, Gujarat, India",On-site,201-500 employees,243 on LinkedIn,6 applicants,Information Technology & Services 201-500 employees 243 on LinkedIn,Full-time,"['Experience with lead generation and prospect management.', 'Excellent verbal and written communication skills.', 'Must have good experience with the bidding portal.', 'Persuasive and goal-oriented.', 'High school degree or equivalent.', 'Excellent analytical and time-management skills.', 'Demonstrated and proven sales results.', 'Ability to work independently or as an active member of a team.', 'Bachelor’s degree preferred.', 'Identifying, qualifying, and securing business opportunities; coordinating business generation activities; developing customized targeted sales strategies.', 'Building business relationships with current and potential clients.', 'Understanding client needs and offering solutions and support; answering potential client questions and follow-up call questions; responding to client requests for proposals (RFPs).', 'Collaborating with sales and leadership to secure, retain, and grow accounts.', 'Creating informative presentations; presenting and delivering information to potential clients at client meetings, industry exhibits, trade shows, and conferences.', 'Creating and maintaining a list/database of prospect clients; maintaining a database (Salesforce, CRM, Excel, etc.) of prospective client information.', 'Cold calling; making multiple outbound calls to potential clients; closing sales and working with the client through the closing process.', 'Meeting all quotas for cold, active, inactive calls, appointments, and interviews; meeting or exceeding annual sales goals.', 'Maintaining a pipeline of all sales administration using CRM software.', 'Collaborating with management on sales goals, planning, and forecasting; maintaining short- and long-term business development plans.', '5 Days a week', 'Flexible timing policy', 'Best Working Environment', 'Generous leave policy. No Sandwich Leave.', 'Excellent working and learning platform', 'Employee engagement activities which can allow you to have fun within organization', 'Celebrations,Tours and much more']",PresentationsBDMAddBusiness DevelopmentAddBusiness Relationship BuildingAddCRM SoftwareAddDeal ClosureAddRFPAddSales OperationsAddSales StrategyAddService DevelopmentAdd,
Hedge Funds Risk Operations - Night Shift,SS&C Technologies,"Navi Mumbai, Maharashtra, India",On-site,"10,001+ employees","20,254 on LinkedIn",Over 200 applicants,"Computer Software 10,001+ employees 20,254 on LinkedIn",Full-time · Entry level,"['Provide operational support for risk production environment.', 'Review daily modeling and mapping reconciliations to ensure accurate and complete output.', 'Produce and deliver recurrent and ad-hoc risk reporting/analyses.', 'Oversee enterprise risk limit monitoring system.', 'Consistently meet client deliverables', 'Answer risk-related queries from a variety of business units including the investor relations, business development, investment management, technology, compliance, accounting and operations teams.', 'Maintain and enhance existing workflows to ensure the highest quality and completeness of data.', 'Review risk application output and resolve any underlying data issues.', 'Understand production dataflows and how they impact various application and report output.', 'Assist in the development and testing of systems used to evaluate market risk.', 'Become familiar with the accounting, valuation treatment and risk measurement for a variety of asset classes, including equities, futures, fixed income securities, listed options, currency forwards, contracts-for-difference, credit default swaps, interest rate swaps and other OTC products.', 'Bachelor’s Degree', 'Prior work experience with a hedge fund administrator or having held a data analyst role', 'Experience with Microsoft Office applications.', 'Must be available to work EST hours', 'Ability to source data from SQL Server databases.', 'General understanding of capital markets and asset class characteristics.', 'Motivated self-starter with an appetite for knowledge.', 'Effective and efficient researcher.', 'Strong organizational skills with the ability to set, organize and meet priorities.', 'Strong attention to detail.', 'Excellent verbal and written communication skills.', 'Ability to work independently as well as with others in small team and energetic environment.']",CommunicationEnterprise RiskAddHedge FundsAddInvestment ManagementAddInvestor RelationsAddMarket RiskAddOrganization SkillsAddRisk ReportingAddSystem TestingAddWritten CommunicationAdd,
PMO Data Analyst,Medline India,"Pune, Maharashtra, India",On-site,"1,001-5,000 employees",623 on LinkedIn,28 applicants,"Information Services 1,001-5,000 employees 623 on LinkedIn",Full-time · Mid-Senior level,"['Flexibility & ability to adjust with change', 'Ability to handle uncertainties', 'Show Resilience', 'Excellent ENGLISH verbal & written skills, crisp communication', 'Listening, empathy, trusting, engaging, team skills', 'Ability to engage right stakeholders for status reporting and escalations', 'Maintain a professional demeanor on all occasions', 'Processing Information, Asking Probing Questions, Finding Solutions, Continuously Improving Things', 'Ability to understand requirements, identify issues, identify solutions, apply technology & practicality', 'Quality, Schedule and Cost conscious', 'Ability to Plan, Multi-task and Prioritize', 'Exhibits Ownership and perseverance - Go-Getter, can do attitude', 'Shows adherence to compliance, standards & processes of the organization and team', 'Ability to produce ideas & thought leadership', 'Exposed to at least one of MS Project / Jira / SharePoint / Slack / Confluence administration', 'Experience in any ETL (SSIS etc.) & Reporting Tool (SSRS, Crystal etc.)', 'Understanding of underlying DB and APIs to access the MPP DB, SharePoint', 'Leverage tools to automate standard monthly and quarterly trending data, enabling near real time access to live trend data', 'Help, guide, mentor other team members on python/R , other analytics tools (especially those who are in early stages of learning curve)', 'Identify and scope potential continuous improvement projects to improve on metrics that are critical', 'Prepare and deliver polished presentations in-person, over the phone and through webinars', 'PMO Tools Administration and query resolution – PWA, Jira, Confluence', 'Publish the Weekly, Monthly and Quarterly PMO Reports to Sr. Management', 'Documentation of Processes, Help guides for reports / administration work', 'Timely escalations and issue management', 'Perform other ad-hoc tasks or duties as assigned by reporting manager']",Analytical SkillsCommunicationPresentationsDatabase TriggersAddIssue ManagementAddMedlineAddProject Management Office (PMO)AddQuery ResolutionAddStatistical AnalysisAddStored ProceduresAdd,
